autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
GreyGrandad,The Monastery is one of the top visits in Lisbon.,"Written June 15, 2017","Wolverhampton, UK",Wonderful Architecture.
lynda44t,This is a stunning building from outside. Did not seem very big inside so I think we might of a missed a section. You can get a joint ticket for the nearby belen tower where you can use the fast track entrance.,"Written June 15, 2017","Darlington, UK",Great architecture
Rachel M,Sadly the cloisters were closed on St. Anthony's day,"Written June 15, 2017",nicosia,Stunning church
oea04,One of the classic sights of Lisbon. It definitely deserves you to take it.it s big and u need time to see all the sights there,"Written June 15, 2017","Athens, Greece",classic sights
Liza A,It has three different buildings. The church which is free to visit. It will be better to check the program because sometimes they have concerts on it. The museum that changes theme from time to time. When I was there they had Tutankhamen. And the cloister which is unique and  worth the tour because it clearly explains a bit of Portuguese history. ,"Written June 15, 2017",Portugal,Impressive arquitectural structure
flyme2themun,Historically significant especially for The historians. Vasco da Gama and Luis Vaz de Camoes were buried in this monastery. Vasco da Gama was the most famous Portuguese navigator who established sea-linked between Portugal and India thus setting the new trade route of the century. While Luis Vaz de Camoes is one of the greatest Portuguese poets. ,"Written June 15, 2017",589 contributions,Historically famous 
MarshallGulch,I have seen notes that said this was a free visit but we were charged 15 eu for the two of us and got a ticket. ,"Written June 15, 2017","Tucson, AZ",A place of splendor
,,,,
Joana S,"The monastery is simply massive in size and in a category of its own. Placed near the river and several other attractions it can't be missed. In a word, this place has: Gravitas!","Written June 15, 2017","Lisbon, Portugal",One of the most impressive historic sites ever
AvidTraveler12,"Outside of the city centre, about 20 minutes by taxi is the area called Belem where Jeronimos Monastery is located.","Written June 15, 2017","Winchester, UK",Our No 1 Place to see in Lisbon
DiH1938,So much to see at this wonderful place. But - a word of advice. The queues in the morning are horrendous. Go in the mid afternoon to avoid them. ,"Written June 15, 2017","Sydney, Australia",Many marvellous collections are gathered here for your pure pleasure.
ericzanes,"It was a pleasure to visit this old monastery, now museum. The history behind it and the story of the persecution of the monks was saddening. However, the salvation of the building is its' design, strength, art and historical residents who are buried inside. I never realized it is the resting place os Vasco di Gama, among other famous, well-known individuals. There is a nice gift shop there as well. I was very happy to visit there one afternoon. I hope whoever reads this gets enough stimulation out of my review to go there. It is well worth the trip.","Written June 15, 2017","San Diego, CA",Art and Architecture at its finest
CDT,This a must when in Lisbon and you should take the time to go see and explore this area. Take the #15 tram from the main square to Belem and it will take you about 30 minutes to get there. Be weary of the time and date you are going as the tram can have major delays and you may have to change routes. The tram getting there can get very very very hot as they sometimes do not turn on AC and are packed full of people. The monastery itself is beautiful Gothic architecture and is a must see when in Lisbon. Be weary of the time you get there cause sometimes they stop entrance 1 hr - 1hr 30min before closing. ,"Written June 14, 2017",132 contributions,Very nice area to discover when in Lisbon.
Brantome2,... only marred by the very long queues and unclear signage as to whether I could skip them and have priority access with my Lisbon Card. The building itself is well preserved and the contrast between the bright external cloisters and the dark internal church is striking. Well worth a visit though,"Written June 14, 2017","Glasgow, UK",Impressive monument
Baczo,Maybe it's the fact I have seen houndreds of churches/cathedrals etc but this one didn't impressed me so much. Nevertheless if you are around Belem it's worth seeing.,"Written June 14, 2017","Palermo, Italy",Expected more
strita60,Simply beautiful! The architecture is amazing. Rich in history. I think if you are planing a visit go with a tour group so you can hear all about the history as well.  The Church sanctuary is free if you go to see the sacristy you'll have to pay for that which isn't that much. ,"Written June 13, 2017","Colonia, NJ",Beautiful
Kimberly M,"The lines were a bit crazy, but the inside was very pretty.  We couldn't go in the actual church, as there was a real wedding happening, but we were able to view it from the choir balcony.  The cloisters were beautiful, and very peaceful, even with all of the people.","Written June 13, 2017","Rockville, MD","crowded, but very impressive"
Emilylouisemelba,"Entering the monastery costs €10 and you only get to enter the choir loft of the cathedral. To see the ground floor of the cathedral, including the graves of Vasco da Gama and Camoes, it is €1.50 for adults; enter via Rue do Jeronimos. I enjoyed this much more than the monastery which is beautiful but once you've seen the cloister that's it, the exhibitions aren't great. Pretty but not worth it for the cost in my opinion. ","Written June 13, 2017","Melbourne, Australia",Monastery is lovely but make sure you go to the cathedral!
